"invoice_no","stock_code","description","quantity","invoice_date","unit_price","customer_id","country"
"571917","22197","POPCORN HOLDER",200,"2011-10-19 15:46:00",0.72,"13078","United Kingdom"
"573903","23526","DOG LICENCE WALL ART",6,"2011-11-01 14:51:00",5.95,"14667","United Kingdom"
"536464","22952","60 CAKE CASES VINTAGE CHRISTMAS",2,"2010-12-01 12:23:00",0.55,"17968","United Kingdom"
"573358","23437","50'S CHRISTMAS GIFT BAG LARGE",12,"2011-10-30 12:46:00",1.25,"17213","United Kingdom"
"560590","23292","SPACE BOY CHILDRENS CUP",16,"2011-07-19 15:55:00",1.25,"12560","Germany"
"552322","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-05-09 09:16:00",2.08,"17049","United Kingdom"
"539088","22502","PICNIC BASKET WICKER 60 PIECES",16,"2010-12-16 09:45:00",4.95,"13093","United Kingdom"
"575054","23280","FOLDING BUTTERFLY MIRROR HOT PINK",12,"2011-11-08 12:18:00",0.83,"16945","United Kingdom"
"574672","21232","STRAWBERRY CERAMIC TRINKET BOX",1,"2011-11-06 12:25:00",1.25,"13532","United Kingdom"
"562807","23306","SET OF 36 DOILIES PANTRY DESIGN",12,"2011-08-09 14:57:00",1.45,"16053","United Kingdom"
"554950","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-05-27 14:48:00",2.08,"14227","United Kingdom"
"545312","82600","N0 SINGING METAL SIGN",3,"2011-03-01 13:51:00",2.1,"15456","United Kingdom"
"567175","85123A","CREAM HANGING HEART T-LIGHT HOLDER",4,"2011-09-18 13:38:00",2.95,"13067","United Kingdom"
"542791","21232","STRAWBERRY CERAMIC TRINKET BOX",1,"2011-02-01 10:47:00",1.25,"15039","United Kingdom"
"538078","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",4,"2010-12-09 14:25:00",2.95,"16255","United Kingdom"
"554940","84997C","BLUE 3 PIECE POLKADOT CUTLERY SET",4,"2011-05-27 13:49:00",4.15,"12494","France"
"540359","84997B","CHILDRENS CUTLERY RETROSPOT RED",4,"2011-01-06 15:29:00",3.75,"18041","United Kingdom"
"551192","84946","ANTIQUE SILVER T-LIGHT GLASS",12,"2011-04-27 10:54:00",1.25,"16188","United Kingdom"
"575965","84946","ANTIQUE SILVER T-LIGHT GLASS",12,"2011-11-13 12:32:00",1.25,"13426","United Kingdom"
"540161","85123A","CREAM HANGING HEART T-LIGHT HOLDER",7,"2011-01-05 11:52:00",2.95,"16719","United Kingdom"
"575705","23534","STOP FOR TEA WALL ART",6,"2011-11-10 17:06:00",5.95,"15159","United Kingdom"
"578923","22847","BREAD BIN DINER STYLE IVORY",1,"2011-11-27 12:01:00",16.95,"14527","United Kingdom"
"537400","22963","JAM JAR WITH BLUE LID",12,"2010-12-06 14:36:00",0.85,"17191","United Kingdom"
"537822","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",6,"2010-12-08 14:22:00",2.95,"13523","United Kingdom"
"569136","22595","CHRISTMAS GINGHAM HEART",12,"2011-09-30 14:41:00",0.85,"15834","United Kingdom"
"563748","23235","BISCUIT TIN VINTAGE LEAF",6,"2011-08-19 10:06:00",2.89,"16170","United Kingdom"
"573362","23388","WOODLAND MINI BACKPACK",4,"2011-10-30 13:06:00",4.15,"12597","Spain"
"566571","22813","PACK 3 BOXES BIRD PANETTONE",12,"2011-09-13 12:49:00",1.95,"17037","United Kingdom"
"545545","22134","LADLE LOVE HEART RED",1,"2011-03-03 15:02:00",0.42,"17841","United Kingdom"
"543820","21232","STRAWBERRY CERAMIC TRINKET BOX",4,"2011-02-13 16:05:00",1.25,"16084","United Kingdom"
"541202","22776","CAKESTAND, 3 TIER, LOVEHEART",1,"2011-01-14 12:09:00",9.95,"17581","United Kingdom"
"555400","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",8,"2011-06-02 17:50:00",8.15,"14088","United Kingdom"
"569469","23359","SET OF 12 T-LIGHTS VINTAGE DOILEY",4,"2011-10-04 12:22:00",1.95,"16360","United Kingdom"
"538849","84997A","CHILDRENS CUTLERY POLKADOT GREEN",2,"2010-12-14 13:31:00",3.75,"14415","United Kingdom"
"542275","23232","WRAP VINTAGE LEAF DESIGN",25,"2011-01-27 10:18:00",0.42,"13089","United Kingdom"
"540160","84997B","CHILDRENS CUTLERY RETROSPOT RED",216,"2011-01-05 11:50:00",3.39,"15769","United Kingdom"
"566258","23254","CHILDRENS CUTLERY DOLLY GIRL",6,"2011-09-11 12:45:00",4.15,"13124","United Kingdom"
"552318","21175","GIN + TONIC DIET METAL SIGN",2,"2011-05-08 16:13:00",2.55,"17231","United Kingdom"
"569653","22939","ADULT APRON APPLE DELIGHT",4,"2011-10-05 12:52:00",4.95,"12451","Switzerland"
"569537","23535","BICYCLE SAFTEY WALL ART",4,"2011-10-04 15:45:00",5.95,"13269","United Kingdom"
"536844","22502","PICNIC BASKET WICKER 60 PIECES",32,"2010-12-02 18:49:00",4.95,"14236","United Kingdom"
"563020","23360","SET 8 CANDLES VINTAGE DOILEY",12,"2011-08-11 12:58:00",1.95,"12428","Finland"
"561028","20725","LUNCH BAG RED RETROSPOT",2,"2011-07-24 11:06:00",1.65,"17769","United Kingdom"
"571441","22937","BAKING MOULD CHOCOLATE CUP CAKES",10,"2011-10-17 13:31:00",4.96,"14096","United Kingdom"
"562621","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-08-08 12:36:00",2.08,"14415","United Kingdom"
"552864","23061","VINTAGE EMBOSSED HEART",6,"2011-05-11 17:13:00",1.25,"13235","United Kingdom"
"554066","84946","ANTIQUE SILVER T-LIGHT GLASS",6,"2011-05-22 10:40:00",1.25,"12916","United Kingdom"
"567142","23390","DOLLY GIRL MINI BACKPACK",4,"2011-09-16 14:55:00",4.15,"14262","United Kingdom"
"571857","23534","STOP FOR TEA WALL ART",4,"2011-10-19 13:38:00",5.95,"15468","United Kingdom"
"559676","23145","ZINC T-LIGHT HOLDER STAR LARGE",12,"2011-07-11 14:40:00",0.95,"17340","United Kingdom"
"558196","23342","MINT DINER CLOCK",1,"2011-06-27 12:38:00",8.5,"16033","United Kingdom"
"570091","23252","ENAMEL JUG PANTRY",4,"2011-10-07 11:47:00",3.75,"15632","United Kingdom"
"559676","84997B","CHILDRENS CUTLERY RETROSPOT RED",4,"2011-07-11 14:40:00",4.15,"17340","United Kingdom"
"554935","23081","GREEN METAL BOX ARMY SUPPLIES",2,"2011-05-27 13:30:00",8.25,"14338","United Kingdom"
"568791","22179","SET 10 LIGHTS NIGHT OWL",2,"2011-09-29 09:51:00",6.75,"16650","United Kingdom"
"568152","23232","WRAP VINTAGE LEAF DESIGN",25,"2011-09-25 11:40:00",0.42,"16480","United Kingdom"
"567613","23306","SET OF 36 DOILIES PANTRY DESIGN",12,"2011-09-21 11:49:00",1.45,"13908","United Kingdom"
"564436","21811","CHRISTMAS HANGING HEART WITH BELL",3,"2011-08-25 12:06:00",1.25,"17841","United Kingdom"
"548529","22963","JAM JAR WITH BLUE LID",12,"2011-03-31 16:56:00",0.85,"18223","United Kingdom"
"569147","23360","SET 8 CANDLES VINTAGE DOILEY",12,"2011-09-30 15:33:00",1.95,"12842","United Kingdom"
"540033","84997B","CHILDRENS CUTLERY RETROSPOT RED",72,"2011-01-04 14:12:00",3.39,"13680","United Kingdom"
"559691","21175","GIN + TONIC DIET METAL SIGN",12,"2011-07-11 15:52:00",2.55,"13089","United Kingdom"
"578702","23281","FOLDING BUTTERFLY MIRROR RED",12,"2011-11-25 10:58:00",0.83,"15382","United Kingdom"
"572460","23130","MISELTOE HEART WREATH",4,"2011-10-24 12:54:00",4.15,"17001","United Kingdom"
"554098","22135","LADLE LOVE HEART PINK",12,"2011-05-22 13:01:00",0.42,"14769","United Kingdom"
"553142","22939","ADULT APRON APPLE DELIGHT",1,"2011-05-13 13:05:00",4.95,"14527","United Kingdom"
"551713","23145","ZINC T-LIGHT HOLDER STAR LARGE",12,"2011-05-03 15:12:00",0.95,"16230","United Kingdom"
"564722","22804","CANDLEHOLDER PINK HANGING HEART",2,"2011-08-28 12:06:00",2.95,"16456","United Kingdom"
"567475","23388","WOODLAND MINI BACKPACK",1,"2011-09-20 13:11:00",4.15,"16360","United Kingdom"
"569651","23536","VILLAGE SHOW WALL ART",1,"2011-10-05 12:49:00",5.95,"14534","United Kingdom"
"563733","23203","JUMBO BAG DOILEY PATTERNS",20,"2011-08-18 17:57:00",2.08,"18225","United Kingdom"
"545545","20725","LUNCH BAG RED RETROSPOT",2,"2011-03-03 15:02:00",1.65,"17841","United Kingdom"
"575331","23209","LUNCH BAG DOILEY PATTERN",10,"2011-11-09 13:52:00",1.65,"13209","United Kingdom"
"576900","23251","ENAMEL MUG PANTRY",48,"2011-11-17 08:53:00",1.25,"15489","United Kingdom"
"575329","23535","BICYCLE SAFTEY WALL ART",1,"2011-11-09 13:50:00",5.95,"17038","United Kingdom"
"561094","23292","SPACE BOY CHILDRENS CUP",8,"2011-07-25 10:04:00",1.25,"12474","Germany"
"551286","85123A","CREAM HANGING HEART T-LIGHT HOLDER",12,"2011-04-27 14:16:00",2.95,"13767","United Kingdom"
"571221","23109","LED TEA LIGHTS",2,"2011-10-14 13:35:00",2.89,"16416","United Kingdom"
"561750","23203","JUMBO BAG DOILEY PATTERNS",10,"2011-07-29 12:18:00",2.08,"16945","United Kingdom"
"570458","22952","60 CAKE CASES VINTAGE CHRISTMAS",6,"2011-10-10 15:39:00",0.55,"14535","United Kingdom"
"557319","22197","POPCORN HOLDER",12,"2011-06-20 08:23:00",0.85,"15076","United Kingdom"
"563908","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",1,"2011-08-21 12:21:00",8.95,"18109","United Kingdom"
"580399","82600","N0 SINGING METAL SIGN",2,"2011-12-04 11:45:00",2.1,"13471","United Kingdom"
"542093","22847","BREAD BIN DINER STYLE IVORY",1,"2011-01-25 12:46:00",16.95,"17677","United Kingdom"
"577807","22776","CAKESTAND, 3 TIER, LOVEHEART",2,"2011-11-22 08:26:00",9.95,"15699","United Kingdom"
"563170","23029","DOORKNOB CRACKED GLAZE GREEN",6,"2011-08-12 12:44:00",1.65,"18237","United Kingdom"
"554682","23068","ALUMINIUM HEART",4,"2011-05-25 16:08:00",2.49,"14085","United Kingdom"
"536975","22837","HOT WATER BOTTLE BABUSHKA",8,"2010-12-03 14:04:00",4.65,"14911","EIRE"
"576560","23209","LUNCH BAG DOILEY PATTERN",2,"2011-11-15 13:21:00",1.65,"12877","United Kingdom"
"564065","23029","DOORKNOB CRACKED GLAZE GREEN",12,"2011-08-22 15:05:00",1.65,"15150","United Kingdom"
"557153","23244","CANNISTER VINTAGE LEAF DESIGN",2,"2011-06-17 11:07:00",1.95,"13735","United Kingdom"
"558200","71459","HANGING JAM JAR T-LIGHT HOLDER",12,"2011-06-27 13:00:00",0.85,"15976","United Kingdom"
"554162","23209","LUNCH BAG DOILEY PATTERN",30,"2011-05-23 11:52:00",1.65,"16722","United Kingdom"
"557632","23065","LARGE DECO JEWELLERY STAND",2,"2011-06-21 15:07:00",12.5,"17420","United Kingdom"
"574755","82001S","SILVER RECORD COVER FRAME",24,"2011-11-07 09:28:00",3.39,"13078","United Kingdom"
"560361","23029","DOORKNOB CRACKED GLAZE GREEN",12,"2011-07-18 11:58:00",1.65,"13488","United Kingdom"
"541489","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",3,"2011-01-18 13:38:00",2.95,"15023","United Kingdom"
"551731","22584","PACK OF 6 PANETTONE GIFT BOXES",6,"2011-05-04 09:57:00",2.55,"14307","United Kingdom"
"556105","23232","WRAP VINTAGE LEAF DESIGN",50,"2011-06-08 16:39:00",0.42,"13466","United Kingdom"
"553095","23203","JUMBO BAG DOILEY PATTERNS",100,"2011-05-13 11:54:00",1.79,"16180","United Kingdom"
"580062","22785","SQUARECUSHION COVER PINK UNION FLAG",1,"2011-12-01 13:28:00",6.75,"15862","United Kingdom"
"551014","23194","GYMKHANA TREASURE BOOK BOX",8,"2011-04-26 11:04:00",2.08,"13209","United Kingdom"
"553184","85184C","S/4 VALENTINE DECOUPAGE HEART BOX",1,"2011-05-15 12:33:00",2.95,"13232","United Kingdom"
"575726","23535","BICYCLE SAFTEY WALL ART",2,"2011-11-10 19:12:00",5.95,"16791","United Kingdom"
"563748","22602","CHRISTMAS RETROSPOT HEART WOOD",12,"2011-08-19 10:06:00",0.85,"16170","United Kingdom"
"572499","23536","VILLAGE SHOW WALL ART",4,"2011-10-24 14:10:00",5.95,"15786","United Kingdom"
"540019","21899","GARAGE KEY FOB",24,"2011-01-04 12:18:00",0.65,"12957","United Kingdom"
"555650","23075","DOUBLE CERAMIC PARLOUR HOOK",4,"2011-06-06 13:48:00",4.15,"14156","EIRE"
"550179","85123A","CREAM HANGING HEART T-LIGHT HOLDER",6,"2011-04-14 17:29:00",2.95,"15220","United Kingdom"
"565201","22847","BREAD BIN DINER STYLE IVORY",1,"2011-09-01 16:41:00",16.95,"14907","United Kingdom"
"560527","20725","LUNCH BAG RED RETROSPOT",10,"2011-07-19 11:57:00",1.65,"15727","United Kingdom"
"555245","23280","FOLDING BUTTERFLY MIRROR HOT PINK",12,"2011-06-01 14:12:00",0.83,"14800","United Kingdom"
"547018","71459","HANGING JAM JAR T-LIGHT HOLDER",12,"2011-03-18 14:53:00",0.85,"17043","United Kingdom"
"568227","23212","HEART WREATH DECORATION WITH BELL",3,"2011-09-26 10:57:00",1.25,"17841","United Kingdom"
"550015","21175","GIN + TONIC DIET METAL SIGN",12,"2011-04-14 10:54:00",2.55,"17735","United Kingdom"
"549542","22778","GLASS BELL JAR SMALL",48,"2011-04-10 11:11:00",3.39,"15311","United Kingdom"
"562878","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",2,"2011-08-10 10:45:00",2.95,"16241","United Kingdom"
"540021","21811","CHRISTMAS HANGING HEART WITH BELL",2,"2011-01-04 12:51:00",1.25,"17841","United Kingdom"
"574966","23534","STOP FOR TEA WALL ART",4,"2011-11-08 10:50:00",5.95,"14901","United Kingdom"
"563916","23252","ENAMEL JUG PANTRY",16,"2011-08-21 13:43:00",3.75,"13435","United Kingdom"
"561535","84997B","CHILDRENS CUTLERY RETROSPOT RED",8,"2011-07-28 09:48:00",4.15,"15116","United Kingdom"
"539475","22197","POPCORN HOLDER",1,"2010-12-19 14:41:00",0.85,"16686","United Kingdom"
"540943","21811","CHRISTMAS HANGING HEART WITH BELL",1,"2011-01-12 12:31:00",1.25,"17841","United Kingdom"
"568239","22776","CAKESTAND, 3 TIER, LOVEHEART",1,"2011-09-26 12:02:00",9.95,"18205","United Kingdom"
"580644","22197","POPCORN HOLDER",10,"2011-12-05 13:10:00",0.85,"16904","United Kingdom"
"567092","23545","WRAP RED DOILEY",25,"2011-09-16 12:48:00",0.42,"13196","United Kingdom"
"572294","23209","LUNCH BAG DOILEY PATTERN",5,"2011-10-23 13:10:00",1.65,"13471","United Kingdom"
"551813","85123A","CREAM HANGING HEART T-LIGHT HOLDER",12,"2011-05-04 11:43:00",2.95,"18065","United Kingdom"
"562791","22986","GINGHAM ROSE WRAP",25,"2011-08-09 14:18:00",0.42,"17730","United Kingdom"
"553828","21175","GIN + TONIC DIET METAL SIGN",24,"2011-05-19 11:24:00",2.55,"17865","United Kingdom"
"553220","23209","LUNCH BAG DOILEY PATTERN",10,"2011-05-16 09:57:00",1.65,"13319","United Kingdom"
"549951","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",6,"2011-04-13 12:57:00",8.95,"13134","United Kingdom"
"546687","84946","ANTIQUE SILVER T-LIGHT GLASS",12,"2011-03-16 09:58:00",1.25,"16040","United Kingdom"
"554079","23209","LUNCH BAG DOILEY PATTERN",2,"2011-05-22 11:41:00",1.65,"14546","United Kingdom"
"551158","22949","36 DOILIES DOLLY GIRL",3,"2011-04-26 15:00:00",1.45,"16823","United Kingdom"
"548711","22197","POPCORN HOLDER",3,"2011-04-03 14:24:00",0.85,"18116","United Kingdom"
"558538","23203","JUMBO BAG DOILEY PATTERNS",3,"2011-06-30 12:12:00",2.08,"15005","United Kingdom"
"569025","84997A","CHILDRENS CUTLERY POLKADOT GREEN",3,"2011-09-30 10:08:00",4.15,"18041","United Kingdom"
"578702","23542","70'S ALPHABET WALL ART",2,"2011-11-25 10:58:00",8.25,"15382","United Kingdom"
"577532","44235","ASS COL CIRCLE MOBILE",3,"2011-11-20 14:01:00",0.42,"16666","United Kingdom"
"572121","22812","PACK 3 BOXES CHRISTMAS PANETTONE",9,"2011-10-20 19:51:00",1.95,"17092","United Kingdom"
"542353","22985","WRAP BILLBOARD FONTS DESIGN",25,"2011-01-27 12:19:00",0.42,"16700","United Kingdom"
"560359","85123A","CREAM HANGING HEART T-LIGHT HOLDER",5,"2011-07-18 11:47:00",2.95,"14159","United Kingdom"
"575756","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",1,"2011-11-11 10:48:00",2.95,"18118","United Kingdom"
"574882","23535","BICYCLE SAFTEY WALL ART",2,"2011-11-07 13:45:00",5.95,"13599","United Kingdom"
"553048","22179","SET 10 LIGHTS NIGHT OWL",4,"2011-05-13 10:02:00",6.75,"14291","United Kingdom"
"551727","23068","ALUMINIUM HEART",8,"2011-05-04 08:40:00",2.49,"14245","United Kingdom"
"568528","23438","GIFT BAG LARGE SPOT",12,"2011-09-27 13:32:00",1.25,"13979","United Kingdom"
"568310","23229","DONKEY TAIL GAME",6,"2011-09-26 12:48:00",3.75,"14911","EIRE"
"545324","85123A","CREAM HANGING HEART T-LIGHT HOLDER",5,"2011-03-01 14:58:00",2.95,"13110","United Kingdom"
"541756","84997B","CHILDRENS CUTLERY RETROSPOT RED",6,"2011-01-21 11:42:00",3.75,"12664","Finland"
"578022","21507","ELEPHANT BIRTHDAY CARD",12,"2011-11-22 13:25:00",0.42,"17371","United Kingdom"
"551142","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",3,"2011-04-26 13:22:00",2.95,"17613","United Kingdom"
"570501","23283","DOORMAT VINTAGE LEAF",2,"2011-10-11 09:23:00",8.25,"14857","United Kingdom"
"575680","21811","CHRISTMAS HANGING HEART WITH BELL",48,"2011-11-10 15:23:00",0.39,"13148","United Kingdom"
"555108","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",1,"2011-05-31 14:18:00",8.95,"18231","United Kingdom"
"544299","84997D","CHILDRENS CUTLERY POLKADOT PINK",4,"2011-02-17 12:55:00",4.15,"13178","United Kingdom"
"554348","23253","16 PC CUTLERY SET PANTRY DESIGN",4,"2011-05-24 08:49:00",15.95,"13523","United Kingdom"
"556491","20725","LUNCH BAG RED RETROSPOT",4,"2011-06-12 14:15:00",1.65,"16794","United Kingdom"
"549055","85123A","CREAM HANGING HEART T-LIGHT HOLDER",12,"2011-04-06 10:33:00",2.95,"13515","United Kingdom"
"569459","23342","MINT DINER CLOCK",2,"2011-10-04 11:33:00",8.5,"16713","United Kingdom"
"574227","22847","BREAD BIN DINER STYLE IVORY",1,"2011-11-03 12:18:00",16.95,"16992","United Kingdom"
"573116","85123A","CREAM HANGING HEART T-LIGHT HOLDER",32,"2011-10-27 15:49:00",2.55,"14525","United Kingdom"
"556727","23237","SET OF 4 KNICK KNACK TINS LEAF",6,"2011-06-14 11:33:00",4.15,"17675","United Kingdom"
"576650","23194","GYMKHANA TREASURE BOOK BOX",8,"2011-11-16 10:34:00",2.25,"14286","United Kingdom"
"541214","84906","PINK B'FLY C/COVER W BOBBLES",2,"2011-01-14 13:41:00",5.95,"15570","United Kingdom"
"577500","23191","BUNDLE OF 3 RETRO EXERCISE BOOKS",1,"2011-11-20 12:30:00",1.65,"14052","United Kingdom"
"563239","23205","CHARLOTTE BAG ALPHABET DESIGN",1,"2011-08-15 10:02:00",0.85,"15048","United Kingdom"
"574909","23237","SET OF 4 KNICK KNACK TINS LEAF",1,"2011-11-07 15:40:00",4.15,"13673","United Kingdom"
"559014","23292","SPACE BOY CHILDRENS CUP",8,"2011-07-05 12:53:00",1.25,"14262","United Kingdom"
"574824","22847","BREAD BIN DINER STYLE IVORY",1,"2011-11-07 10:43:00",16.95,"13097","United Kingdom"
"573275","23032","DOORKNOB CRACKED GLAZE IVORY",12,"2011-10-28 13:12:00",1.65,"15311","United Kingdom"
"569236","22778","GLASS BELL JAR SMALL",1,"2011-10-02 15:49:00",3.95,"14432","United Kingdom"
"566495","23388","WOODLAND MINI BACKPACK",2,"2011-09-13 11:14:00",4.15,"15529","United Kingdom"
"560537","23103","BELL HEART DECORATION",24,"2011-07-19 12:19:00",1.65,"17779","United Kingdom"
"577318","23370","SET 36 COLOUR PENCILS DOILEY",16,"2011-11-18 13:42:00",1.25,"17675","United Kingdom"
"575718","23091","METAL HERB GERDEN CONTAINER",1,"2011-11-10 18:04:00",6.25,"16907","United Kingdom"
"575007","22972","CHILDREN'S SPACEBOY MUG",12,"2011-11-08 11:20:00",1.65,"14140","United Kingdom"
"569261","23229","DONKEY TAIL GAME",3,"2011-10-03 11:34:00",3.75,"17321","United Kingdom"
"560841","23068","ALUMINIUM HEART",8,"2011-07-21 12:25:00",2.08,"14298","United Kingdom"
"570019","23396","BUTTERFLY CUSHION COVER",1,"2011-10-07 10:13:00",3.75,"17841","United Kingdom"
"575152","23103","BELL HEART DECORATION",8,"2011-11-08 16:12:00",1.65,"16284","United Kingdom"
"554556","23209","LUNCH BAG DOILEY PATTERN",20,"2011-05-25 10:11:00",1.65,"13098","United Kingdom"
"572652","22632","HAND WARMER RED POLKA DOT",12,"2011-10-25 12:11:00",2.1,"15805","United Kingdom"
"574544","23197","SKETCHBOOK MAGNETIC SHOPPING LIST",12,"2011-11-04 14:49:00",1.45,"17084","United Kingdom"
"544798","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-02-23 13:44:00",1.95,"17063","United Kingdom"
"552829","85123A","CREAM HANGING HEART T-LIGHT HOLDER",32,"2011-05-11 13:42:00",2.55,"12748","United Kingdom"
"577536","23396","BUTTERFLY CUSHION COVER",1,"2011-11-20 14:14:00",3.75,"15850","United Kingdom"
"568700","22847","BREAD BIN DINER STYLE IVORY",1,"2011-09-28 15:02:00",16.95,"16690","United Kingdom"
"578153","22197","POPCORN HOLDER",6,"2011-11-23 11:22:00",0.85,"12748","United Kingdom"
"565588","85123A","CREAM HANGING HEART T-LIGHT HOLDER",6,"2011-09-05 13:50:00",2.95,"16918","United Kingdom"
"537391","22953","BIRTHDAY BANNER TAPE",4,"2010-12-06 13:53:00",1.25,"16550","United Kingdom"
"574501","23281","FOLDING BUTTERFLY MIRROR RED",2,"2011-11-04 13:15:00",0.83,"12577","France"
"563569","20725","LUNCH BAG RED RETROSPOT",10,"2011-08-17 14:47:00",1.65,"18257","United Kingdom"
"580399","22416","SET OF 36 DOILIES SPACEBOY DESIGN",6,"2011-12-04 11:45:00",1.45,"13471","United Kingdom"
"571408","23282","FOLDING BUTTERFLY MIRROR IVORY",1,"2011-10-17 12:22:00",0.83,"15012","United Kingdom"
"558115","23252","ENAMEL JUG PANTRY",4,"2011-06-27 08:50:00",3.75,"16003","United Kingdom"
"548330","20725","LUNCH BAG RED RETROSPOT",4,"2011-03-30 13:26:00",1.65,"14810","United Kingdom"
"567793","23209","LUNCH BAG DOILEY PATTERN",10,"2011-09-22 11:40:00",1.65,"12657","France"
"566008","20622","VIP PASSPORT COVER",2,"2011-09-08 12:04:00",2.1,"16426","United Kingdom"
"546875","20725","LUNCH BAG RED RETROSPOT",10,"2011-03-17 16:38:00",1.65,"12514","Italy"
"537265","22785","SQUARECUSHION COVER PINK UNION FLAG",1,"2010-12-06 11:26:00",6.75,"15919","United Kingdom"
"556970","23203","JUMBO BAG DOILEY PATTERNS",10,"2011-06-16 10:18:00",1.95,"13082","United Kingdom"
"564553","23252","ENAMEL JUG PANTRY",4,"2011-08-25 18:45:00",3.75,"18200","United Kingdom"
"554823","22776","CAKESTAND, 3 TIER, LOVEHEART",2,"2011-05-26 14:20:00",9.95,"16624","United Kingdom"
"553830","84997A","CHILDRENS CUTLERY POLKADOT GREEN",4,"2011-05-19 11:32:00",4.15,"17871","United Kingdom"
"559989","23292","SPACE BOY CHILDRENS CUP",8,"2011-07-14 12:21:00",1.25,"13319","United Kingdom"
"580523","23191","BUNDLE OF 3 RETRO EXERCISE BOOKS",2,"2011-12-04 15:00:00",1.65,"17827","United Kingdom"
"561704","22999","TRAVEL CARD WALLET RETRO PETALS",2,"2011-07-29 11:07:00",0.42,"14606","United Kingdom"
"547253","22804","CANDLEHOLDER PINK HANGING HEART",4,"2011-03-22 10:44:00",2.95,"13869","United Kingdom"
"579712","22595","CHRISTMAS GINGHAM HEART",3,"2011-11-30 14:17:00",0.85,"15467","United Kingdom"
"574477","22595","CHRISTMAS GINGHAM HEART",8,"2011-11-04 12:21:00",0.85,"15453","United Kingdom"
"562042","23168","CLASSIC CAFE SUGAR DISPENSER",12,"2011-08-02 10:19:00",1.25,"13075","United Kingdom"
